Writer	Book1	Book2	Book3
F·斯科特·菲兹杰拉德	《了不起的盖茨比》	None	None
阿尔贝·加缪 《鼠疫·局外人》 《堕落》 None
阿加莎·克里斯提	《尼罗河上的惨案》	《无人生还》	None
安托万·D·S·埃克苏佩里	《小王子》	None	None
川端康成	《雪国》	《彩虹落幕时》	None
村上春树	《挪威的森林》	《舞！舞！舞！》	《海边的卡夫卡》
大冰	《好吗？好的》	《乖，摸摸头》	《阿弥陀佛么么哒》
大仲马	《基督山伯爵》	《三个火枪手》	None
当年明月	《明朝那些事儿》	None	None
丁墨	《他来了，请闭眼》 《挚野》 《莫负寒夏》
东野圭吾	《嫌疑人X的献身》	《白夜行》	《放学后》
渡边淳一	《钝感力》	《失乐园》	《爱在原野尽头》
宫部美雪	《模仿犯》	《理由》	None
海明威	《老人与海》	《永别了，武器》	None
加西亚·马尔克斯	《百年孤独》	None	None
金庸	《神雕侠侣》	None	None
老舍	《骆驼祥子》	《茶馆》	None
刘慈欣	《三体》	《球状闪电》	None
路遥	《人生》	《平凡的世界》	None
毛姆	《面纱》	《月亮与六便士》	None
米兰·昆德拉	《不能承受的生命之轻》	None	None
钱钟书	《围城》	《写在人生边上》	《人·兽·鬼》
乔治·R·R·马丁	《冰与火之歌》	None	None
斯蒂芬·茨威格	《人类群星闪耀时》	None	None
巫哲	《撒野》	None	None
伍绮诗	《无声告白》	《小小小小的火》	None
余华	《活着》	《在细雨中呐喊》	None
张嘉佳	《从你的全世界路过》	《云边有个小卖部》	None
紫金陈	《坏小孩（隐秘的角落）》	《沉默的真相》	None

